[1/3] C 소스 파일 컴파일 중: files/main.c
[2/3] CPU 및 16MB DRAM 초기화 중...
[3/3] 파이프라인 시뮬레이션 시작

========================= Simulation Running =========================
[00036 Cycle] IF_PC: 0x00000228 | ID_PC: 0x00000224 | EX_PC: 0x00000220 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00037 Cycle] IF_PC: 0x00000228 | ID_PC: 0x00000224 | EX_PC: 0x00000220 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00038 Cycle] IF_PC: 0x00000228 | ID_PC: 0x00000224 | EX_PC: 0x00000220 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00039 Cycle] IF_PC: 0x00000228 | ID_PC: 0x00000224 | EX_PC: 0x00000220 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00040 Cycle] IF_PC: 0x0000022C | ID_PC: 0x00000228 | EX_PC: 0x00000224 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00041 Cycle] IF_PC: 0x0000022C | ID_PC: 0x00000228 | EX_PC: 0x00000224 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00042 Cycle] IF_PC: 0x0000022C | ID_PC: 0x00000228 | EX_PC: 0x00000224 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00043 Cycle] IF_PC: 0x0000022C | ID_PC: 0x00000228 | EX_PC: 0x00000224 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00044 Cycle] IF_PC: 0x0000022C | ID_PC: 0x00000228 | EX_PC: 0x00000224 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00045 Cycle] IF_PC: 0x00000230 | ID_PC: 0x0000022C | EX_PC: 0x00000228 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00046 Cycle] IF_PC: 0x00000230 | ID_PC: 0x0000022C | EX_PC: 0x00000228 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00047 Cycle] IF_PC: 0x00000230 | ID_PC: 0x0000022C | EX_PC: 0x00000228 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00048 Cycle] IF_PC: 0x00000230 | ID_PC: 0x0000022C | EX_PC: 0x00000228 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00049 Cycle] IF_PC: 0x00000230 | ID_PC: 0x0000022C | EX_PC: 0x00000228 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
